acc_epoch,train_accus,valid_accus
0,0.9524999856948853,0.9573999643325806
1,0.9719666838645935,0.9728999733924866
2,0.9776666760444641,0.976699948310852
3,0.984416663646698,0.9837999939918518
4,0.9854000210762024,0.9846999645233154
5,0.9868500232696533,0.9853999614715576
6,0.9900667071342468,0.9874999523162842
7,0.991433322429657,0.9871999621391296
8,0.9924333691596985,0.9884999990463257
9,0.9939166903495789,0.9899999499320984
10,0.9941999912261963,0.9900999665260315
11,0.9947500228881836,0.9891999959945679
12,0.9964166879653931,0.9907999634742737
13,0.994866669178009,0.9882999658584595
14,0.9953666925430298,0.9896999597549438
