loss_epoch,train_losses,valid_losses
0,0.49455377954641977,0.5749972018599511
1,0.20081988942623138,0.504291713386774
2,0.1795418864607811,0.47628575399518014
3,0.168984840798378,0.44510178282856944
4,0.1604084568897883,0.4290193433314562
5,0.152446078646183,0.401944170743227
6,0.14480548237164814,0.38617911010980605
7,0.1378162076552709,0.3707339061051607
8,0.13168480381568273,0.3505220764875412
9,0.12576222103436788,0.34520315676927565
10,0.12040850414037704,0.3227825231850147
11,0.11567936223347981,0.3141653035581112
12,0.1106459952433904,0.29833781607449056
13,0.10588276847203573,0.28631723407655957
14,0.10157381503979365,0.2754760181903839
