acc_epoch,train_accus,valid_accus
0,0.8424000144004822,0.8527999520301819
1,0.8654333353042603,0.8738999962806702
2,0.8742666840553284,0.8823999762535095
3,0.8822500109672546,0.8889999985694885
4,0.8873000144958496,0.8965999484062195
5,0.8923666477203369,0.9018999934196472
6,0.8964499831199646,0.9044999480247498
7,0.9011833667755127,0.9077999591827393
8,0.9039666652679443,0.9085999727249146
9,0.909250020980835,0.9152999520301819
10,0.9134166836738586,0.9185000061988831
11,0.9171333312988281,0.9204999804496765
12,0.9205499887466431,0.9240999817848206
13,0.9236166477203369,0.9264999628067017
14,0.9251500368118286,0.9284999966621399
