acc_epoch,train_accus,valid_accus
0,0.10218333452939987,0.10099999606609344
1,0.10218333452939987,0.10099999606609344
2,0.10218333452939987,0.10099999606609344
3,0.10218333452939987,0.10099999606609344
4,0.8187833428382874,0.8242999911308289
5,0.864050030708313,0.8737999796867371
6,0.8791500329971313,0.887999951839447
7,0.8850666880607605,0.8955000042915344
8,0.9001500010490417,0.9068999886512756
9,0.9065666794776917,0.9136999845504761
10,0.9113166928291321,0.9185999631881714
11,0.9111999869346619,0.91839998960495
12,0.9153167009353638,0.9235999584197998
13,0.9172833561897278,0.9240999817848206
14,0.9187833666801453,0.9265999794006348
