loss_epoch,train_losses,valid_losses
0,0.4584220677137375,0.141887849830091
1,0.12191381353934606,0.08173636706545949
2,0.0849924927632014,0.06987101616337896
3,0.06722594856023789,0.04696311902021989
4,0.05579346152096987,0.04614138026256114
5,0.04756601032515367,0.045752004375681284
6,0.04148594586451848,0.039838866794016214
7,0.03541086375725766,0.0383289939747192
8,0.03253202467312415,0.033878513001836835
9,0.02701395469928781,0.030040165157988668
10,0.025752836022774377,0.03257427927601384
11,0.022762996088465055,0.03443970907130279
12,0.01964445287088553,0.028951883679255844
13,0.01770851604938507,0.035410202554194255
14,0.016704689186811447,0.03585953584231902
